0
1. Climate & Atmosphere (Khí hậu & Khí quyển)**3==D3==D* Biến đổi khí hậu (Climate change)3==D* Khí nhà kính (Greenhouse gases)3==D* Ô nhiễm không khí (Air pollution)3==D* Tầng ozone và chất lượng không khí (Ozone layer, air quality)3==D* Thích ứng & giảm thiểu biến đổi khí hậu (Adaptation & mitigation)	2. Water & Marine Environment (Tài nguyên nước & Môi trường biển)**3==D3==D* Chất lượng nước (Water quality)3==D* Nguồn nước ngọt, sông, hồ, nước ngầm3==D* Ô nhiễm nước (Water pollution)3==D* Đại dương, biển và vùng ven biển (Marine & coastal environment)3==D* Vi nhựa, rác thải biển, sinh vật biển	3. Land, Soil & Agriculture (Đất đai, Đất nông nghiệp & Canh tác)**3==D3==D* Thoái hóa đất, xói mòn, sa mạc hóa3==D* Ô nhiễm đất (Soil contamination)3==D* Quản lý sử dụng đất (Land use management)3==D* Nông nghiệp bền vững, trồng trọt hữu cơ3==D* Phát triển đô thị và môi trường đất	4. Biodiversity & Ecosystems (Đa dạng sinh học & Hệ sinh thái)**3==D3==D* Bảo tồn loài, bảo vệ rừng, động thực vật quý hiếm3==D* Suy thoái hệ sinh thái, mất môi trường sống3==D* Rừng, đồng cỏ, vùng ngập nước3==D* Khôi phục và phục hồi thiên nhiên (Restoration ecology)3==D* Dịch vụ hệ sinh thái (Ecosystem services)	5. Energy & Resources (Năng lượng & Tài nguyên)**3==D3==D* Năng lượng tái tạo (gió, mặt trời, thủy điện, sinh khối)3==D* Hiệu quả năng lượng, tiết kiệm năng lượng3==D* Khai thác tài nguyên (dầu, khí, khoáng sản)3==D* Tiêu thụ năng lượng & phát thải carbon3==D* Nền kinh tế carbon thấp	6. Waste, Pollution & Chemicals (Chất thải, Ô nhiễm & Hóa chất)**3==D3==D* Quản lý rác thải sinh hoạt & công nghiệp3==D* Rác thải nguy hại, chất độc hại3==D* Ô nhiễm tiếng ồn, ánh sáng, nhiệt3==D* Ô nhiễm công nghiệp, kim loại nặng3==D* Quản lý hóa chất & an toàn môi trường	7. Circular Economy & Sustainability (Kinh tế tuần hoàn & Phát triển bền vững)**3==D3==D* Giảm – Tái sử dụng – Tái chế (3R)3==D* Sử dụng tài nguyên hiệu quả (Resource efficiency)3==D* Sản phẩm xanh, tiêu dùng bền vững3==D* Chuỗi cung ứng xanh (Green supply chain)3==D* Mục tiêu phát triển bền vững (SDGs)	8. Environment & Human Health (Môi trường & Sức khỏe con người)**3==D3==D* Ảnh hưởng của ô nhiễm đến sức khỏe3==D* Bệnh liên quan môi trường (ô nhiễm, hóa chất, nước bẩn)3==D* Chất độc, kim loại nặng, thuốc trừ sâu3==D* Tiếng ồn đô thị, ánh sáng nhân tạo3==D* Sức khỏe tinh thần & biến đổi khí hậu3==D	9. Environmental Policy & Governance (Chính sách & Quản trị môi trường)**3==D3==D* Luật và quy định môi trường3==D* Cơ chế quốc tế (COP, IPCC, UNFCCC, SDGs)3==D* Quản trị môi trường (Environmental governance)3==D* Chính sách khí hậu quốc gia & địa phương3==D* Giáo dục & truyền thông môi trường	10. Urban Environment & Green Living (Môi trường đô thị & Lối sống xanh)**3==D3==D* Quy hoạch xanh, thành phố bền vững3==D* Giao thông xanh, giảm phát thải đô thị3==D* Không gian xanh, cây xanh đô thị3==D* Công nghệ xanh, nhà thông minh, tiết kiệm năng lượng3==D* Lối sống xanh, tiêu dùng thân thiện môi trường
Weather Forecast Systems	Wetland Restoration	Irrigation Efficiency	Conservation Biology	Green Energy Innovation	Pollution Source Identification	Sustainable Consumption	Chemical Toxicity Analysis	Global Climate Governance	Green Energy in Cities	Not Done
Airborne Particulate Matter	Water Demand Forecasting	Land Restoration Program	Ecosystem Service Valuation	Renewable Resource Management	Waste Reduction Campaign	Circular Design Thinking	Human Exposure Assessment	Environmental Standards Setting	Urban Green Planning	Not Done
Regional Climate Dynamics	Hydrological Cycle Analysis	Precision Agriculture	Natural Resource Protection	Fossil Fuel Reduction	Industrial Emission Control	Resource Circularity	Environmental Risk Factors	Government Sustainability Program	Sustainable City Policy	Not Done
Solar Radiation Balance	Wastewater Recycling	Soil Health Index	Habitat Recovery Strategy	Energy Security Strategy	Plastic Waste Management	Green Industry Standards	Water Quality and Health	Corporate Environmental Responsibility	Smart Energy Grids	Not Done
Aerosol Concentration	Marine Habitat Conservation	Agricultural Sustainability	Ecosystem Health Assessment	Resource Optimization	Waste to Energy Technology	Recycling Economy	Climate Change Health Impact	Environmental Compliance Auditing	Green Technology Integration	Not Done
Extreme Weather Preparedness	Flood Risk Assessment	Composting Innovation	Protected Area Management	Energy Transition Pathways	Chemical Waste Treatment	Sustainability Transition	Airborne Disease Monitoring	Environmental Justice Movement	Urban Biodiversity Planning	Not Done
Energy Decarbonization	Drinking Water Safety	Land Management Planning	Forest Biodiversity Survey	Nuclear Energy Safety	Pollution Prevention Program	Sustainable Packaging	Environmental Health Monitoring	Local Environmental Governance	Urban Sustainability Index	Not Done
Carbon Sequestration Potential	Stormwater Management	Agroecology Development	Species Conservation Plans	Decarbonization Policy	Landfill Management System	Product Lifecycle Assessment	Pesticide Exposure Effects	Sustainability Reporting Standards	Clean Mobility Solutions	Not Done
Ozone Layer Protection	Coastal Erosion Prevention	Nutrient Management System	Ecosystem Mapping Project	Smart Grid Technology	Air Quality Monitoring Network	Eco Innovation Program	Industrial Pollution Impact	Environmental Accountability Framework	Eco Neighborhood Design	Not Done
Methane Emission Control	Water Quality Standards	Fertilizer Optimization	Wildlife Corridor Design	Energy Efficiency Improvement	Hazardous Material Handling	Circular Business Model	Noise and Stress Correlation	Climate Action Policy	Sustainable Construction Materials	Not Done
Arctic Ice Melting	Aquatic Ecosystem Health	Drought Resistant Crops	Ecosystem Risk Assessment	Sustainable Power Generation	Environmental Remediation	Sustainable Development Planning	Toxicology Research	Environmental Law Reform	Urban Greening Initiatives	Not Done
Sea Level Monitoring	Hydropower Sustainability	Soil Erosion Mapping	Forest Carbon Stock	Energy Policy Framework	Industrial Pollution Control	Resource Optimization	Human Health Indicators	Environmental Risk Management	Energy Efficient Buildings	Not Done
Atmospheric Research Station	Water Infrastructure Planning	Sustainable Crop Production	Habitat Loss Monitoring	Renewable Energy Integration	Waste Minimization Practices	Environmental Sustainability Goals	Environmental Hygiene	National Environmental Strategy	Green Urban Governance	Not Done
Climate Impact Assessment	Blue Economy Development	Soil Structure Improvement	Ecosystem Restoration Network	Carbon Capture Utilization	Toxic Waste Cleanup	Sustainability Certification	Respiratory Disease Research	Environmental Policy Innovation	Sustainable Urban Mobility	Not Done
Global Temperature Rise	Coral Reef Restoration	Land Productivity Index	Biodiversity Awareness Campaign	Energy Resource Management	Chemical Spill Response	Eco Friendly Production	Water Contamination and Health	Government Climate Action Plan	Green Roof Implementation	Not Done
Emission Intensity Reduction	Ocean Currents Mapping	Organic Certification	Wildlife Reintroduction	Energy Data Analytics	Pollution Control Devices	Circular Product Design	Occupational Health Safety	Policy Integration for Sustainability	Urban Climate Adaptation	Not Done
Atmospheric Chemistry Studies	Water Governance Framework	Sustainable Rural Development	Forest Regeneration Study	Hydrogen Fuel Cell Development	Solid Waste Collection	Sustainable Corporate Strategy	Environmental Disease Prevention	Environmental Regulation Framework	Smart Building Systems	Not Done
Polar Climate Studies	Marine Protected Areas	Soil Monitoring Network	Habitat Preservation Policy	Solar Panel Efficiency	Environmental Toxicology	Green Product Labeling	Chemical Exposure Studies	Environmental Data Transparency	Urban Sustainability Strategy	Not Done
Carbon Pricing Mechanism	Aquaculture Sustainability	Land Rehabilitation Project	Ecosystem Service Framework	Renewable Infrastructure Planning	Air Emission Standards	Renewable Material Use	Noise Reduction for Health	Climate Change Policy Coordination	Green Commuting Programs	Not Done
Fossil Fuel Transition	Transboundary Water Management	Agricultural Waste Reduction	Wetland Conservation Plan	Energy Sector Transformation	Chemical Contamination Studies	Circular Value Chain	Environmental Health Awareness	Environmental Protection Legislation	Eco City Development	Not Done
Low Carbon Economy	Water Energy Nexus	Greenhouse Agriculture	Biodiversity Hotspot Mapping	Resource Conservation Programs	Waste Segregation Policy	Sustainability Framework	Health Risk Communication	Intergovernmental Climate Cooperation	Sustainable Infrastructure Planning	Not Done
Renewable Energy Integration	Marine Litter Reduction	Soil Carbon Storage	Natural Habitat Restoration	Clean Energy Economy	Pollution Impact Assessment	Zero Waste Initiative	Mental Health and Environment	Sustainability Leadership	Urban Environmental Monitoring	Not Done
Sustainable Transportation	Hydrological Modeling	Urban Land Management	Ecosystem Service Integration	Wind Farm Operations	Chemical Hazard Management	Eco Labeling System	Public Health Policies	Environmental Policy Instruments	Renewable Energy in Buildings	Not Done
Air Quality Monitoring Network	Saltwater Intrusion	Agrochemical Regulation	Forest Landscape Restoration	Energy Production Monitoring	Waste Management Innovation	Sustainable Investment Policy	Environmental Illness Tracking	Environmental Institutional Capacity	Green Space Connectivity	Not Done
Carbon Dioxide Measurement	Freshwater Supply Chain	Soil Testing Laboratory	Ecosystem Monitoring Station	Energy Consumption Reduction	Soil Pollution Remediation	Circular Innovation Lab	Air Pollution Effects on Children	Environmental Ethics and Policy	Sustainable City Innovation	Not Done
Climate Risk Index	Integrated Water Management	Land Ownership Reform	Wildlife Population Study	Carbon Neutral Development	Recycling Technology Development	Green Finance Solutions	Toxic Waste Exposure	Climate Governance Network	Urban Waste Reduction	Not Done
Emission Reduction Targets	Eutrophication Control	Sustainable Soil Use	Biodiversity Impact Assessment	Energy Market Analysis	Noise Monitoring System	Sustainability Roadmap	Waterborne Pathogen Detection	Public Participation in Environment	Public Green Space Design	Not Done
Weather Pattern Analysis	Water Pollution Index	Farm Management Systems	Ecosystem Adaptation	Resource Recycling Strategy	Waste Reduction Policy	Product Stewardship	Chemical Health Standards	Environmental Decision Making Process	Smart Mobility Solutions	Not Done
Climate Resilience Planning	Ocean Cleanup Technologies	Soil Nutrient Balance	Forest Management Program	Bioenergy Conversion	Hazardous Waste Tracking	Recycling and Reuse Systems	Urban Pollution and Health	Environmental Policy Assessment	Eco Urban Architecture	Not Done
Green Energy Innovation	Hydrodynamic Studies	Climate Smart Agriculture	Habitat Protection Strategy	Energy Audit Programs	Airborne Pollutant Analysis	Sustainable Resource Management	Heat Stress Impact	International Policy Framework	Green Building Certification	Not Done
Industrial Emission Control	Water Recycling System	Soil Remediation Projects	Ecosystem Function Research	Renewable Energy Targets	Chemical Waste Recycling	Eco Industrial Park	Environmental Health Program	Climate Diplomacy and Negotiation	Sustainable Lifestyle Promotion	Not Done
Atmospheric Data Collection	Marine Research Institute	Land Use Efficiency	Wildlife Conservation Training	Energy Access for All	Pollution Abatement Programs	Circular Economy Policy	Human Toxicology Studies	Green Governance Principles	Urban Energy Efficiency	Not Done
Carbon Cycle Analysis	Water Crisis Response	Sustainable Crop Yield	Ecosystem Connectivity Study	Sustainable Resource Extraction	Environmental Cleanup Projects	Green Economy Transition	Pollution Related Mortality	Environmental Accountability Systems	City Resilience Planning	Not Done
Climate Variability Research	Estuary Management	Agricultural Innovation	Biodiversity Data Analysis	Energy Transition Governance	Industrial Chemical Safety	Sustainability Indicators	Climate Change and Mental Health	Environmental Auditing Process	Urban Ecosystem Services	Not Done
Extreme Temperature Events	Aquatic Species Monitoring	Soil Water Retention	Ecosystem Valuation Models	Energy Innovation Center	Solid Waste Treatment Facility	Eco Design Framework	Environmental Health Regulations	Environmental Transparency Initiative	Sustainable Community Planning	Not Done
Global Emission Outlook	Drinking Water Purification	Farmland Preservation	Forest Ecosystem Monitoring	Hydrogen Storage System	Toxic Material Regulation	Circular Supply Network	Toxic Chemical Studies	Policy Advocacy for Climate	Green Urban Policy	Not Done
Atmospheric Pollution Index	Sustainable Irrigation	Sustainable Livestock Management	Habitat Mapping Technology	Energy Investment Policy	Sustainable Chemical Management	Sustainable Material Management	Water Quality Monitoring for Health	Environmental Education Policy	Low Carbon Transport	Not Done
Carbon Offset Projects	Oceanographic Observation	Soil Regeneration Process	Biodiversity Restoration Initiative	Resource Efficiency Management	Waste Recycling Awareness	Green Technology Innovation	Environmental Health Data	Government Green Strategy	Smart City Governance	Not Done
Renewable Energy Transition	Waterborne Disease Prevention	Agroforestry Practices	Ecosystem Stability	Low Emission Energy	Pollution Mapping System	Sustainable Production System	Air Quality Health Index	Environmental Risk Assessment	Eco Innovation in Cities	Not Done
Sustainable Aviation Fuel	Water Quality Monitoring Network	Land Tenure Governance	Species Interaction Study	Energy Sustainability Index	Waste Treatment Technology	Recycling Strategy	Health Impact Modeling	Sustainability Policy Development	Sustainable Urban Growth	Not Done
Heatwave Management	Groundwater Quality Assessment	Sustainable Soil Practices	Forest Biodiversity Monitoring	Renewable Supply Chain	Environmental Pollution Studies	Sustainability Benchmarking	Environmental Risk Management	Corporate Climate Governance	Urban Heat Reduction Strategy	Not Done
Climate Change Scenarios	Coastal Resilience Strategy	Agricultural Pollution Control	Habitat Restoration Project	Energy Infrastructure Development	Chemical Exposure Monitoring	Eco System Services	Noise Health Guidelines	Environmental Regulation Reform	Eco Housing Development	Not Done
Climate Finance Initiatives	Water Use Efficiency	Soil Amendment Techniques	Ecosystem Rehabilitation	Circular Energy Economy	Noise and Light Pollution	Circular Innovation Hub	Air Pollution and Pregnancy	Environmental Performance Indicators	Green Commuter Network	Not Done
Emission Forecast Models	Marine Sediment Studies	Rural Land Development	Wildlife Conservation Program	Carbon Neutral Power	Plastic Waste Reduction	Sustainable Product Development	Chemical Safety Assessment	Climate Policy Monitoring	Sustainable Living Awareness	Not Done
Atmospheric Pressure Patterns	Waterborne Waste Control	Land Use Mapping	Ecosystem Research Institute	Sustainable Energy Solutions	Air Quality Improvement	Material Efficiency	Health and Environmental Policy	National Green Governance	Smart Infrastructure Systems	Not Done
Global Carbon Budget	Tsunami Early Warning	Soil Contamination Cleanup	Biodiversity Data Center	Energy Production Optimization	Water Pollution Research	Sustainability Leadership	Pollution Impact on Lungs	Environmental Leadership Programs	Urban Green Corridors	Not Done
Climate Risk Insurance	Ocean Floor Mapping	Farm Sustainability Index	Ecosystem Service Evaluation	Green Hydrogen Economy	Hazardous Waste Management Plan	Circular Economy Transition	Environmental Health Monitoring Systems	Environmental Law Implementation	Eco Friendly Public Transport	Not Done
Energy Transition Policy	Watershed Management	Sustainable Crop Rotation	Forest Resource Management	Offshore Wind Energy	Chemical Disposal Guidelines	Green Business Model	Toxic Exposure Data	Sustainability Assessment Tools	Sustainable Building Materials	Not Done
Net Zero Emission Pathway	Water Sustainability Goals	Soil Resource Management	Wildlife Tracking Systems	Energy Efficiency Standards	Solid Waste Governance	Eco Resource Planning	Public Health and Climate	Environmental Management Policy	Urban Climate Resilience	Not Done
Weather Observation Satellite	Aquatic Life Protection	Agroecological Transition	Ecosystem Recovery Projects	Solar Energy Harvesting	Pollution Detection Systems	Sustainability Reporting	Water Sanitation Standards	Climate Change Governance	Sustainable City Framework	Not Done
Long Term Climate Trends	Coastal Biodiversity Conservation	Land Suitability Assessment	Biodiversity Policy Development	Renewable Energy Policy	Industrial Waste Minimization	Closed Material Loop	Airborne Contaminant Research	Environmental Planning Framework	Green Energy Transition in Cities	Not Done
Ocean Temperature Monitoring	Marine Debris Research	Farming Technology Integration	Ecosystem Service Economics	Sustainable Resource Management	Toxic Gas Monitoring	Circular Policy Development	Chemical Impact on Humans	Public Policy on Environment	Urban Water Management	Not Done
Decarbonization Strategy	River Restoration Project	Soil Health Monitoring	Forest Health Assessment	Clean Technology Adoption	Hazardous Substance Regulation	Sustainable Market Design	Environmental Health Index	Environmental Policy Coordination	Sustainable Urban Economy	Not Done
Carbon Market Development	Hydrological Data System	Land Policy Reform	Biodiversity Sustainability	Energy Efficiency Certification	Sustainable Waste Processing	Eco Friendly Technologies	Mental Wellbeing and Pollution	Environmental Stewardship Programs	Eco Friendly Housing Design	Not Done
Climate Data Analytics	Water Contamination Prevention	Sustainable Food Systems	Habitat Enhancement Project	Resource Recovery Systems	Recycling Plant Operation	Sustainability Audit	Urban Air Quality Studies	Environmental Certification Schemes	Urban Resource Efficiency	Not Done
Renewable Integration Systems	Ocean Sustainability Framework	Soil Research Program	Ecosystem Ecology Research	Energy Transition Framework	Pollution Prevention Framework	Circular Investment Strategy	Health Risk Evaluation	Government Environmental Programs	Sustainable Neighborhood Design	Not Done
Air Quality Forecast	Sustainable Shipping Practices	Regenerative Agriculture	Forest Regeneration Techniques	Low Carbon Energy Solutions	Air Contaminant Reduction	Resource Recovery Innovation	Environmental Safety Research	Environmental Information Systems	Urban Transport Innovation	Not Done
Temperature Regulation Policy	Marine Spatial Planning	Land Degradation Prevention	Biodiversity and Climate Change	Sustainable Power Distribution	Waste Collection Network	Eco Economic Planning	Pesticide Toxicity	Environmental Policy Benchmarking	Green Space Urban Planning	Not Done
Global Warming Potential	Water Reuse Technologies	Soil Carbon Assessment	Ecosystem Integrity Index	Energy Use Assessment	Chemical Safety Monitoring	Sustainability Governance	Pollution and Cardiovascular Disease	Sustainability Reporting Regulation	Eco Urban Mobility	Not Done
Atmospheric Radiation Studies	Aquatic Ecosystem Restoration	Crop Yield Optimization	Wildlife Management Plan	Resource Security Strategy	Solid Waste Optimization	Circular Consumption Model	Human Biomonitoring	Environmental Performance Auditing	Sustainable Building Innovation	Not Done
Carbon Footprint Accounting	Groundwater Monitoring	Sustainable Irrigation Practices	Forest Protection Policy	Renewable Energy Economics	Toxic Chemical Control	Green Infrastructure	Environmental Medicine Studies	Climate Policy Research	Urban Smart Energy Systems	Not Done
Emission Factor Analysis	Water Security Policy	Soil and Water Conservation	Ecosystem Function Assessment	Energy Performance Monitoring	Waste Audit Process	Sustainability Integration	Heatwave Health Risk	Environmental Advisory Council	Low Emission Transport	Not Done
Sustainable Development Pathways	Marine Ecosystem Resilience	Agricultural Land Planning	Biodiversity Database	Energy Innovation Program	Pollution Reporting System	Sustainable Manufacturing	Toxic Emission Analysis	Environmental Governance Reform	Green Construction Practices	Not Done
Greenhouse Gas Modeling	Water Harvesting System	Soil Organic Matter Study	Habitat Resilience	Sustainable Energy Production	Hazardous Waste Storage	Recycling Awareness Program	Air Quality and Public Health	Environmental Program Evaluation	Sustainable Urban Lifestyles	Not Done
Air Pollution Reduction Plan	Oceanographic Data Collection	Land Productivity Improvement	Ecosystem Restoration Practice	Resource Allocation Efficiency	Environmental Pollution Control	Circular Waste Management	Chemical Risk Evaluation	Sustainable Policy Integration	Smart Energy Solutions for Cities	Not Done
Ozone Depletion Studies	Coastal Water Protection	Precision Farming Technology	Wildlife Monitoring Tools	Zero Emission Energy	Industrial Waste Recycling	Eco Design Innovation	Environmental Health Surveillance	Environmental Compliance Framework	Green Space Integration	Not Done
Climate Science Collaboration	Water Energy Efficiency	Soil Moisture Retention	Biodiversity Strategy	Energy Technology Advancement	Pollutant Emission Study	Green Marketing Strategy	Pollution and Asthma	Environmental Strategy Governance	Sustainable City Governance	Not Done
Weather Adaptation Planning	Desalination Research	Sustainable Agriculture Education	Forest Conservation Funding	Renewable Energy Grid	Chemical Risk Management	Sustainable Development Goals	Human Health Impact Assessment	Governmental Environmental Review	Urban Design for Resilience	Not Done
Renewable Infrastructure Growth	Flood Management Infrastructure	Land and Forest Interface	Ecosystem Planning Tools	Sustainable Resource Supply	Recycling System Improvement	Circular Economy Assessment	Toxic Substance Studies	Environmental Enforcement Mechanisms	Eco Friendly City Planning	Not Done
Low Carbon Technologies	Water Distribution Network	Crop Management Strategy	Habitat Connectivity Network	Energy Efficiency Auditing	Pollution Control Strategy	Sustainable Product Lifecycle	Waterborne Contamination Risks	Policy Innovation for Green Growth	Smart Urban Development	Not Done
Emission Verification Methods	Marine Biotechnology	Soil Pollution Monitoring	Biodiversity Modelling	Energy Policy Reform	Solid Waste Logistics	Resource Regeneration	Environmental Sanitation	Climate Regulation Framework	Sustainable Urban Energy	Not Done
Climate Research Program	Water Recycling Plant	Soil Biodiversity Protection	Ecosystem Restoration Projects	Resource Extraction Management	Environmental Waste Tracking	Eco Certification	Public Health Data Analysis	Environmental Accountability Measures	Green Living Campaigns	Not Done
Greenhouse Gas Mitigation Tools	Coastal Resource Management	Sustainable Agro Systems	Forest Protection Program	Renewable Energy Storage	Toxic Substance Regulation	Circular Industry Network	Toxic Gas Exposure	National Environmental Agency	Eco City Transition	Not Done
Atmospheric Observation Center	Hydropower Development	Fertilizer Management Plan	Wildlife Habitat Network	Clean Resource Utilization	Hazardous Chemical Disposal	Green Supply Management	Air Quality Regulations	Environmental Risk Communication	Urban Carbon Footprint Reduction	Not Done
Energy Efficiency Standards	Water Conservation Awareness	Agricultural Land Zoning	Biodiversity Research Initiative	Energy Efficiency Incentives	Pollution Mitigation Planning	Sustainability Consulting	Environmental Health Indicators	Environmental Policy Advocacy	Sustainable Public Spaces	Not Done
Air Quality Legislation	Oceanographic Modeling	Soil Science Research	Ecosystem Adaptation Plan	Sustainable Mining Practices	Air Pollution Reduction	Circular Resource Economy	Pollution Mitigation and Health	Sustainability Regulation Framework	Green Urban Innovation	Not Done
Global Emission Database	Aquatic Pollution Mitigation	Land Development Policy	Forest Ecosystem Valuation	Energy Optimization Tools	Waste Management Regulation	Eco Economic Framework	Human Health Research Center	Climate Action Framework	Smart City Sustainability	Not Done
